 --- 01.12.2022 00:00:01 --- 
XML Developer: Udacha

Обновляем участок: Светлозерье: участок 62
Обновляем участок: Велиборы: участок 277
Обновляем участок: Велиборы: участок 273
 ... Пропускаем участок: Велиборы: участок 275
 ... Пропускаем участок: Велиборы: участок 270
 ... Пропускаем участок: Велиборы: участок 271
 ... Пропускаем участок: Велиборы: участок 272
 ... Пропускаем участок: Велиборы: участок 274
 ... Пропускаем участок: Велиборы: участок 276
 ... Пропускаем участок: Велиборы: участок 298
Обновляем участок: Сапроново: участок 38
Обновляем участок: Сапроново: участок 53
Обновляем участок: Сапроново: участок 54
Обновляем участок: Сапроново: участок 16
Обновляем участок: Светлозерье: участок 60
Обновляем участок: Светлозерье: участок 63
Обновляем участок: Светлозерье: участок 89
Обновляем участок: Усадьба Коровино: участок 137
Обновляем участок: Светлозерье: участок 76
Обновляем участок: Сапроново: участок 3
Обновляем участок: Сапроново: участок 4
 ... Пропускаем участок: Сапроново: участок 5
 ... Пропускаем участок: Сапроново: участок 6
 ... Пропускаем участок: Сапроново: участок 7
 ... Пропускаем участок: Сапроново: участок 8
Обновляем участок: Сапроново: участок 14
Обновляем участок: Сапроново: участок 194
Обновляем участок: Светлозерье: участок 58
 ... Пропускаем участок: Светлозерье: участок 64
Обновляем участок: Сапроново: участок 17
 ... Пропускаем участок: Сапроново: участок 19
 ... Пропускаем участок: Сапроново: участок 47
 ... Пропускаем участок: Сапроново: участок 49
 ... Пропускаем участок: Сапроново: участок 52
Обновляем участок: Сапроново: участок 70
 ... Пропускаем участок: Сапроново: участок 10
 ... Пропускаем участок: Сапроново: участок 11
 ... Пропускаем участок: Сапроново: участок 13
 ... Пропускаем участок: Сапроново: участок 15
Обновляем участок: Сапроново: участок 88
Обновляем участок: Сапроново: участок 89
 ... Пропускаем участок: Сапроново: участок 90
 ... Пропускаем участок: Сапроново: участок 116
 ... Пропускаем участок: Сапроново: участок 117
Обновляем участок: Речной: участок 20121
 ... Пропускаем участок: Сапроново: участок 18
 ... Пропускаем участок: Сапроново: участок 20
 ... Пропускаем участок: Сапроново: участок 21
 ... Пропускаем участок: Сапроново: участок 25
 ... Пропускаем участок: Сапроново: участок 37
 ... Пропускаем участок: Сапроново: участок 40
 ... Пропускаем участок: Сапроново: участок 41
 ... Пропускаем участок: Сапроново: участок 42
 ... Пропускаем участок: Сапроново: участок 43
 ... Пропускаем участок: Сапроново: участок 48
 ... Пропускаем участок: Сапроново: участок 58
 ... Пропускаем участок: Сапроново: участок 62
 ... Пропускаем участок: Сапроново: участок 63
 ... Пропускаем участок: Сапроново: участок 64
Обновляем участок: Сапроново: участок 177
Обновляем участок: Сапроново: участок 174
 ... Пропускаем участок: Сапроново: участок 175
Обновляем участок: Сапроново: участок 191
 ... Пропускаем участок: Светлозерье: участок 72
 ... Пропускаем участок: Сапроново: участок 218
 ... Пропускаем участок: Светлозерье: участок 71
 ... Пропускаем участок: Светлозерье: участок 73
Обновляем участок: Сапроново: участок 9
Обновляем участок: Усадьба Коровино: участок 174
Обновляем участок: Усадьба Коровино: участок 183
 ... Пропускаем участок: Усадьба Коровино: участок 184
